INFO 2025-08-20 11:00:36,921 [__main__:1157] 🚀 StockVibePredictor Model Training System v5.0
INFO 2025-08-20 11:00:36,921 [__main__:1158] ================================================================================
INFO 2025-08-20 11:00:36,921 [__main__:1298] 🏥 Running system health check...
INFO 2025-08-20 11:00:36,921 [__main__:1301] 
📁 Directory Check:
INFO 2025-08-20 11:00:36,921 [__main__:1307]   ✅ Models: /Users/dibakar/Documents/Code/Git & Github/Repo/StockVibePredictor/Backend/Scripts/Models
INFO 2025-08-20 11:00:36,921 [__main__:1307]   ✅ Logs: /Users/dibakar/Documents/Code/Git & Github/Repo/StockVibePredictor/Backend/Logs
INFO 2025-08-20 11:00:36,921 [__main__:1307]   ✅ Performance: /Users/dibakar/Documents/Code/Git & Github/Repo/StockVibePredictor/Backend/Scripts/Performance
INFO 2025-08-20 11:00:36,921 [__main__:1310] 
📦 Dependencies Check:
INFO 2025-08-20 11:00:36,921 [__main__:1316]   ✅ All required packages installed
INFO 2025-08-20 11:00:36,921 [__main__:1321] 
🌐 API Connectivity Check:
INFO 2025-08-20 11:00:38,191 [__main__:1325]   ✅ Yahoo Finance API accessible
INFO 2025-08-20 11:00:38,191 [__main__:1332] 
📊 Model Inventory:
INFO 2025-08-20 11:00:38,191 [__main__:1334]   Total models: 94
INFO 2025-08-20 11:00:38,192 [__main__:1026] 🔍 Validating models for compatibility...
INFO 2025-08-20 11:00:38,198 [__main__:1049]   ✅ META_model_1w.pkl (vunknown, acc: 30.77%)
INFO 2025-08-20 11:00:38,202 [__main__:1049]   ✅ JPM_model_6mo.pkl (vunknown, acc: 52.38%)
INFO 2025-08-20 11:00:38,207 [__main__:1049]   ✅ GOOGL_model_1w.pkl (vunknown, acc: 69.23%)
INFO 2025-08-20 11:00:38,211 [__main__:1049]   ✅ QQQ_model_6mo.pkl (vunknown, acc: 61.90%)
INFO 2025-08-20 11:00:38,214 [__main__:1049]   ✅ JPM_model_1y.pkl (vunknown, acc: 71.88%)
INFO 2025-08-20 11:00:38,218 [__main__:1049]   ✅ V_model_6mo.pkl (vunknown, acc: 47.62%)
INFO 2025-08-20 11:00:38,221 [__main__:1049]   ✅ ARKK_model_1w.pkl (vunknown, acc: 46.15%)
INFO 2025-08-20 11:00:38,224 [__main__:1049]   ✅ SPY_model_1d.pkl (vunknown, acc: 54.84%)
INFO 2025-08-20 11:00:38,233 [__main__:1049]   ✅ universal_model_1d.pkl (vunknown, acc: 52.56%)
INFO 2025-08-20 11:00:38,237 [__main__:1049]   ✅ QQQ_model_1d.pkl (vunknown, acc: 51.61%)
INFO 2025-08-20 11:00:38,240 [__main__:1049]   ✅ GS_model_1d.pkl (vunknown, acc: 64.52%)
